Date,Buying
2014-07-19,385.95858
2014-07-20,385.95858
2014-07-21,386.0484
2014-07-22,386.0484
2014-07-23,386.0484
2014-07-24,386.0484
2014-07-25,386.0484
2014-07-26,386.0484
2014-07-27,386.0484
2014-07-28,386.078575
2014-07-29,386.0484
2014-07-30,386.0484
2014-07-31,386.0484
2014-08-01,386.1691
2014-08-02,386.078575
2014-08-03,386.078575
2014-08-04,386.2115
2014-08-05,386.1936
2014-08-06,386.1936
2014-08-07,386.1936
2014-08-08,386.1936
2014-08-09,386.19718
2014-08-10,386.19718
2014-08-11,386.2156
2014-08-12,386.2156
2014-08-13,386.2156
2014-08-14,386.2156
2014-08-15,386.2156
2014-08-16,386.2156
2014-08-17,386.2156
2014-08-18,386.2156
2014-08-19,385.6726
2014-08-20,385.6726
2014-08-21,385.7047
2014-08-22,385.7047
2014-08-23,385.79404
2014-08-24,385.79404
2014-08-25,385.7047
2014-08-26,385.7047
2014-08-27,385.7047
2014-08-28,385.7047
2014-08-29,385.747
2014-08-30,385.71316
2014-08-31,385.71316
2014-09-01,385.747
2014-09-02,385.747
2014-09-03,385.7894
2014-09-04,385.8255
2014-09-05,385.8255
2014-09-06,385.78688
2014-09-07,385.78688
2014-09-08,386.0449
2014-09-09,386.0702
2014-09-10,386.9171
2014-09-11,386.9384
2014-09-12,386.9659
2014-09-13,386.5873
2014-09-14,386.5873
2014-09-15,386.9746
2014-09-16,387.6781
2014-09-17,387.7482
2014-09-18,388.7066
2014-09-19,388.7462
2014-09-20,387.97074
2014-09-21,387.97074
2014-09-22,389.5653
2014-09-23,390.5198
2014-09-24,393.4208
2014-09-25,394.1204
2014-09-26,396.5506
2014-09-27,392.83538
2014-09-28,392.83538
2014-09-29,396.9708
2014-09-30,398.8309
2014-10-01,399.651
2014-10-02,400.9776
2014-10-03,402.492
2014-10-04,399.78445999999997
2014-10-05,399.78445999999997
2014-10-06,403.2665
2014-10-07,405.7181
2014-10-08,406.7618
2014-10-09,409.2581
2014-10-10,411.3978
2014-10-11,407.28046
2014-10-12,407.28046
2014-10-13,413.3598
2014-10-14,416.4551
2014-10-15,417.2593
2014-10-16,419.2874
2014-10-17,419.9349
2014-10-18,417.2593
2014-10-19,417.2593
2014-10-20,424.2048
2014-10-21,432.1097
2014-10-22,435.7294
2014-10-23,440.13
2014-10-24,445.7012
2014-10-25,435.57501999999994
2014-10-26,435.57501999999994
2014-10-27,443.0095
2014-10-28,444.5363
2014-10-29,449.7019
2014-10-30,451.7716
2014-10-31,455.5135
2014-11-01,448.90656
2014-11-02,448.90656
2014-11-03,459.7865
2014-11-04,464.9677
2014-11-05,467.3007
2014-11-06,467.5899
2014-11-07,468.6184
2014-11-08,465.65263999999996
2014-11-09,465.65263999999996
2014-11-10,469.0035
2014-11-11,469.2692
2014-11-12,470.1428
2014-11-13,471.358
2014-11-14,472.5517
2014-11-15,470.46504000000004
2014-11-16,470.46504000000004
2014-11-17,473.3767
2014-11-18,475.7056
2014-11-19,478.01
2014-11-20,479.2636
2014-11-21,481.1016
2014-11-22,477.4915
2014-11-23,477.4915
2014-11-24,481.8997
2014-11-25,482.1272
2014-11-26,481.8939
2014-11-27,481.9626
2014-11-28,482.2005
2014-11-29,482.01678000000004
2014-11-30,482.01678000000004
2014-12-01,482.2005
2014-12-02,481.2677
2014-12-03,480.8217
2014-12-04,480.3855
2014-12-05,479.6764
2014-12-06,480.87036
2014-12-07,480.87036
2014-12-08,478.5366
2014-12-09,477.5646
2014-12-10,476.0094
2014-12-11,473.9677
2014-12-12,471.7965
2014-12-13,475.57496000000003
2014-12-14,475.57496000000003
2014-12-15,470.7943
2014-12-16,469.82
2014-12-17,467.8819
2014-12-18,466.5724
2014-12-19,464.9906
2014-12-20,468.01184
2014-12-21,468.01184
2014-12-22,462.4703
2014-12-23,459.3624
2014-12-24,458.0103
2014-12-25,457.90055
2014-12-26,457.90055
2014-12-27,457.90055
2014-12-28,457.90055
2014-12-29,457.3163
2014-12-30,455.4707
2014-12-31,454.7733
2015-01-01,454.3796
2015-01-02,454.3796
2015-01-03,454.3796
2015-01-04,454.3796
2015-01-05,450.6979
2015-01-06,449.9873
2015-01-07,449.0487
2015-01-08,448.5728
2015-01-09,447.617
2015-01-10,449.18474
2015-01-11,449.18474
2015-01-12,447.7708
2015-01-13,447.1508
2015-01-14,447.0287
2015-01-15,447.182725
2015-01-16,446.7806
2015-01-17,447.182725
2015-01-18,447.182725
2015-01-19,446.4191
2015-01-20,445.2369
2015-01-21,444.6767
2015-01-22,444.3692
2015-01-23,444.2933
2015-01-24,444.99904
2015-01-25,444.99904
